"Country","MIC","isolates","tot","prop"
"Austria (n=39)","0.12",12,39,0.307692307692308
"Austria (n=39)","0.25",12,39,0.307692307692308
"Austria (n=39)","0.5",2,39,0.0512820512820513
"Austria (n=39)","1",5,39,0.128205128205128
"Austria (n=39)","2",2,39,0.0512820512820513
"Austria (n=39)","4",5,39,0.128205128205128
"Austria (n=39)",">4",1,39,0.0256410256410256
"Belgium (n=467)","0.12",82,467,0.17558886509636
"Belgium (n=467)","0.25",116,467,0.248394004282655
"Belgium (n=467)","0.5",55,467,0.117773019271949
"Belgium (n=467)","1",71,467,0.15203426124197
"Belgium (n=467)","2",97,467,0.207708779443255
"Belgium (n=467)","4",41,467,0.0877944325481799
"Belgium (n=467)",">4",5,467,0.0107066381156317
"Croatia (n=109)","0.12",16,109,0.146788990825688
"Croatia (n=109)","0.25",17,109,0.155963302752294
"Croatia (n=109)","0.5",8,109,0.073394495412844
"Croatia (n=109)","1",15,109,0.137614678899083
"Croatia (n=109)","2",21,109,0.192660550458716
"Croatia (n=109)","4",30,109,0.275229357798165
"Croatia (n=109)",">4",2,109,0.018348623853211
"Czech Republic (n=66)","0.12",17,66,0.257575757575758
"Czech Republic (n=66)","0.25",12,66,0.181818181818182
"Czech Republic (n=66)","0.5",8,66,0.121212121212121
"Czech Republic (n=66)","1",4,66,0.0606060606060606
"Czech Republic (n=66)","2",13,66,0.196969696969697
"Czech Republic (n=66)","4",11,66,0.166666666666667
"Czech Republic (n=66)",">4",1,66,0.0151515151515152
"Denmark (n=89)","0.12",32,89,0.359550561797753
"Denmark (n=89)","0.25",26,89,0.292134831460674
"Denmark (n=89)","0.5",6,89,0.0674157303370786
"Denmark (n=89)","1",8,89,0.0898876404494382
"Denmark (n=89)","2",12,89,0.134831460674157
"Denmark (n=89)","4",3,89,0.0337078651685393
"Denmark (n=89)",">4",2,89,0.0224719101123595
"Finland (n=56)","0.12",13,56,0.232142857142857
"Finland (n=56)","0.25",9,56,0.160714285714286
"Finland (n=56)","0.5",9,56,0.160714285714286
"Finland (n=56)","1",4,56,0.0714285714285714
"Finland (n=56)","2",15,56,0.267857142857143
"Finland (n=56)","4",5,56,0.0892857142857143
"Finland (n=56)",">4",1,56,0.0178571428571429
"France (n=1540)","0.12",203,1540,0.131818181818182
"France (n=1540)","0.25",177,1540,0.114935064935065
"France (n=1540)","0.5",205,1540,0.133116883116883
"France (n=1540)","1",360,1540,0.233766233766234
"France (n=1540)","2",443,1540,0.287662337662338
"France (n=1540)","4",134,1540,0.087012987012987
"France (n=1540)",">4",18,1540,0.0116883116883117
"Germany (n=525)","0.12",157,525,0.299047619047619
"Germany (n=525)","0.25",143,525,0.272380952380952
"Germany (n=525)","0.5",79,525,0.15047619047619
"Germany (n=525)","1",45,525,0.0857142857142857
"Germany (n=525)","2",58,525,0.11047619047619
"Germany (n=525)","4",35,525,0.0666666666666667
"Germany (n=525)",">4",8,525,0.0152380952380952
"Hungary (n=229)","0.12",23,229,0.100436681222707
"Hungary (n=229)","0.25",53,229,0.231441048034935
"Hungary (n=229)","0.5",22,229,0.0960698689956332
"Hungary (n=229)","1",43,229,0.187772925764192
"Hungary (n=229)","2",48,229,0.209606986899563
"Hungary (n=229)","4",26,229,0.11353711790393
"Hungary (n=229)",">4",14,229,0.0611353711790393
"Ireland (n=145)","0.12",31,145,0.213793103448276
"Ireland (n=145)","0.25",18,145,0.124137931034483
"Ireland (n=145)","0.5",9,145,0.0620689655172414
"Ireland (n=145)","1",24,145,0.16551724137931
"Ireland (n=145)","2",44,145,0.303448275862069
"Ireland (n=145)","4",17,145,0.117241379310345
"Ireland (n=145)",">4",2,145,0.0137931034482759
"Italy (n=577)","0.12",139,577,0.240901213171577
"Italy (n=577)","0.25",129,577,0.223570190641248
"Italy (n=577)","0.5",78,577,0.135181975736568
"Italy (n=577)","1",65,577,0.11265164644714
"Italy (n=577)","2",96,577,0.166377816291161
"Italy (n=577)","4",61,577,0.105719237435009
"Italy (n=577)",">4",9,577,0.0155979202772964
"Lithuania (n=36)","0.12",8,36,0.222222222222222
"Lithuania (n=36)","0.25",9,36,0.25
"Lithuania (n=36)","0.5",3,36,0.0833333333333333
"Lithuania (n=36)","1",3,36,0.0833333333333333
"Lithuania (n=36)","2",7,36,0.194444444444444
"Lithuania (n=36)","4",6,36,0.166666666666667
"Netherlands (n=30)","0.12",9,30,0.3
"Netherlands (n=30)","0.25",9,30,0.3
"Netherlands (n=30)","0.5",4,30,0.133333333333333
"Netherlands (n=30)","1",2,30,0.0666666666666667
"Netherlands (n=30)","2",3,30,0.1
"Netherlands (n=30)","4",2,30,0.0666666666666667
"Netherlands (n=30)",">4",1,30,0.0333333333333333
"Norway (n=2)","0.12",1,2,0.5
"Norway (n=2)","0.5",1,2,0.5
"Poland (n=153)","0.12",25,153,0.163398692810458
"Poland (n=153)","0.25",19,153,0.124183006535948
"Poland (n=153)","0.5",19,153,0.124183006535948
"Poland (n=153)","1",11,153,0.0718954248366013
"Poland (n=153)","2",35,153,0.228758169934641
"Poland (n=153)","4",34,153,0.222222222222222
"Poland (n=153)",">4",10,153,0.065359477124183
"Portugal (n=243)","0.12",46,243,0.189300411522634
"Portugal (n=243)","0.25",40,243,0.164609053497942
"Portugal (n=243)","0.5",23,243,0.0946502057613169
"Portugal (n=243)","1",33,243,0.135802469135802
"Portugal (n=243)","2",67,243,0.275720164609054
"Portugal (n=243)","4",28,243,0.11522633744856
"Portugal (n=243)",">4",6,243,0.0246913580246914
"Slovenia (n=35)","0.12",9,35,0.257142857142857
"Slovenia (n=35)","0.25",10,35,0.285714285714286
"Slovenia (n=35)","0.5",5,35,0.142857142857143
"Slovenia (n=35)","1",5,35,0.142857142857143
"Slovenia (n=35)","2",5,35,0.142857142857143
"Slovenia (n=35)","4",1,35,0.0285714285714286
"Spain (n=1335)","0.12",246,1335,0.184269662921348
"Spain (n=1335)","0.25",200,1335,0.149812734082397
"Spain (n=1335)","0.5",177,1335,0.132584269662921
"Spain (n=1335)","1",184,1335,0.137827715355805
"Spain (n=1335)","2",283,1335,0.211985018726592
"Spain (n=1335)","4",215,1335,0.161048689138577
"Spain (n=1335)",">4",30,1335,0.0224719101123595
"Sweden (n=88)","0.12",11,88,0.125
"Sweden (n=88)","0.25",23,88,0.261363636363636
"Sweden (n=88)","0.5",18,88,0.204545454545455
"Sweden (n=88)","1",18,88,0.204545454545455
"Sweden (n=88)","2",13,88,0.147727272727273
"Sweden (n=88)","4",4,88,0.0454545454545455
"Sweden (n=88)",">4",1,88,0.0113636363636364
